Название,Цена,Ссылка
Red Dead Redemption,49.99,https://www.nintendo.com/us/store/products/red-dead-redemption-switch/
Death's Door,19.99,https://www.nintendo.com/us/store/products/deaths-door-switch/
Cabernet,0.0,https://www.nintendo.com/us/store/products/cabernet-switch/
Hungry Shark® World,9.99,https://www.nintendo.com/us/store/products/hungry-shark-world-switch/
GRIS,16.99,https://www.nintendo.com/us/store/products/gris-switch/
Sid Meier's Civilization® VII,59.99,https://www.nintendo.com/us/store/products/sid-meiers-civilization-vii-switch/
Arcade Archives VS. SUPER MARIO BROS.,7.99,https://www.nintendo.com/us/store/products/arcade-archives-vs-super-mario-bros-switch/
Tools Up!,0.0,https://www.nintendo.com/us/store/products/tools-up-switch/
ESCAPE - BACKROOMS HORROR,4.99,https://www.nintendo.com/us/store/products/escape-backrooms-horror-switch/
Super Mario™ 3D World + Bowser’s Fury,59.99,https://www.nintendo.com/us/store/products/super-mario-3d-world-plus-bowsers-fury-switch/
The Legend of Zelda™: Breath of the Wild,59.99,https://www.nintendo.com/us/store/products/the-legend-of-zelda-breath-of-the-wild-switch/
Stray,29.99,https://www.nintendo.com/us/store/products/stray-switch/
Nickelodeon All-Star Brawl,0.0,https://www.nintendo.com/us/store/products/nickelodeon-all-star-brawl-switch/
Bridge Race,0.0,https://www.nintendo.com/us/store/products/bridge-race-switch/
Cuphead,19.99,https://www.nintendo.com/us/store/products/cuphead-switch/
Terraria,29.99,https://www.nintendo.com/us/store/products/terraria-switch/
Mario Party™ Superstars,59.99,https://www.nintendo.com/us/store/products/mario-party-superstars-switch/
Serious Sam Collection,29.99,https://www.nintendo.com/us/store/products/serious-sam-collection-switch/
Turnip Boy Commits Tax Evasion,0.0,https://www.nintendo.com/us/store/products/turnip-boy-commits-tax-evasion-switch/
Undertale,14.99,https://www.nintendo.com/us/store/products/undertale-switch/
Overcooked! 2,24.99,https://www.nintendo.com/us/store/products/overcooked-2-switch/
